Company Name,cluster,percent,keyword
"ANDPAD VietNam Co., Ltd",0,30.0,"môi_trường_tốt, môi_trường_năng_động, văn_phòng_rộng, nhân_viên_tốt, phúc_lợi_tốt, vật_chất_tốt, văn_phòng_sạch, môi_trường_tuyệt_vời, kỹ_năng_mềm, văn_phòng_thoải_mái, văn_phòng_đẹp, công_ty_tốt, thời_thoải_mái, đồng_nghiệp_trẻ, đồng_nghiệp_giỏi, đồ_nhẹ, sếp_giỏi, vẻ_hòa, bãi_rộng_rãi, nhân_viên_đông"
"ANDPAD VietNam Co., Ltd",4,30.0,"văn_phòng_đẹp, công_ty_tốt, thời_thoải_mái, đồng_nghiệp_trẻ, đồng_nghiệp_giỏi, đồ_nhẹ, sếp_giỏi, vẻ_hòa, bãi_rộng_rãi, nhân_viên_đông, môi_trường_tốt, môi_trường_năng_động, văn_phòng_rộng, nhân_viên_tốt, phúc_lợi_tốt, vật_chất_tốt, văn_phòng_sạch, môi_trường_tuyệt_vời, kỹ_năng_mềm, văn_phòng_thoải_mái"
ARIS Vietnam,0,23.08,"môi_trường_tốt, môi_trường_năng_động, văn_phòng_rộng, nhân_viên_tốt, phúc_lợi_tốt, vật_chất_tốt, văn_phòng_sạch, môi_trường_tuyệt_vời, kỹ_năng_mềm, văn_phòng_thoải_mái, văn_phòng_đẹp, công_ty_tốt, thời_thoải_mái, đồng_nghiệp_trẻ, đồng_nghiệp_giỏi, đồ_nhẹ, sếp_giỏi, vẻ_hòa, bãi_rộng_rãi, nhân_viên_đông"
ARIS Vietnam,1,23.08,"môi_trường_tốt, môi_trường_năng_động, văn_phòng_rộng, nhân_viên_tốt, phúc_lợi_tốt, vật_chất_tốt, văn_phòng_sạch, môi_trường_tuyệt_vời, kỹ_năng_mềm, văn_phòng_thoải_mái, môi_trường_trẻ, văn_phòng_rộng_rãi, lương_chậm, chế_độ_tốt, đồng_nghiệp_tốt, lương_ổn, cảnh_đẹp, lợi_ích_tốt, văn_phòng_xịn, đãi_ngộ_tốt"
"AZPLAYS Co., LTD",0,83.33,"môi_trường_tốt, môi_trường_năng_động, văn_phòng_rộng, nhân_viên_tốt, phúc_lợi_tốt, vật_chất_tốt, văn_phòng_sạch, môi_trường_tuyệt_vời, kỹ_năng_mềm, văn_phòng_thoải_mái, văn_phòng_đẹp, công_ty_tốt, thời_thoải_mái, đồng_nghiệp_trẻ, đồng_nghiệp_giỏi, đồ_nhẹ, sếp_giỏi, vẻ_hòa, bãi_rộng_rãi, nhân_viên_đông"
"AZPLAYS Co., LTD",2,16.67,"văn_phòng_đẹp, công_ty_tốt, thời_thoải_mái, đồng_nghiệp_trẻ, đồng_nghiệp_giỏi, đồ_nhẹ, sếp_giỏi, vẻ_hòa, bãi_rộng_rãi, nhân_viên_đông, môi_trường_trẻ, văn_phòng_rộng_rãi, lương_chậm, chế_độ_tốt, đồng_nghiệp_tốt, lương_ổn, cảnh_đẹp, lợi_ích_tốt, văn_phòng_xịn, đãi_ngộ_tốt"
AZoom VietNam,2,40.0,"văn_phòng_đẹp, công_ty_tốt, thời_thoải_mái, đồng_nghiệp_trẻ, đồng_nghiệp_giỏi, đồ_nhẹ, sếp_giỏi, vẻ_hòa, bãi_rộng_rãi, nhân_viên_đông, môi_trường_trẻ, văn_phòng_rộng_rãi, lương_chậm, chế_độ_tốt, đồng_nghiệp_tốt, lương_ổn, cảnh_đẹp, lợi_ích_tốt, văn_phòng_xịn, đãi_ngộ_tốt"
AZoom VietNam,0,20.0,"môi_trường_tốt, môi_trường_năng_động, văn_phòng_rộng, nhân_viên_tốt, phúc_lợi_tốt, vật_chất_tốt, văn_phòng_sạch, môi_trường_tuyệt_vời, kỹ_năng_mềm, văn_phòng_thoải_mái, văn_phòng_đẹp, công_ty_tốt, thời_thoải_mái, đồng_nghiệp_trẻ, đồng_nghiệp_giỏi, đồ_nhẹ, sếp_giỏi, vẻ_hòa, bãi_rộng_rãi, nhân_viên_đông"
Accenture,0,38.89,"môi_trường_tốt, môi_trường_năng_động, văn_phòng_rộng, nhân_viên_tốt, phúc_lợi_tốt, vật_chất_tốt, văn_phòng_sạch, môi_trường_tuyệt_vời, kỹ_năng_mềm, văn_phòng_thoải_mái, văn_phòng_đẹp, công_ty_tốt, thời_thoải_mái, đồng_nghiệp_trẻ, đồng_nghiệp_giỏi, đồ_nhẹ, sếp_giỏi, vẻ_hòa, bãi_rộng_rãi, nhân_viên_đông"
Accenture,1,27.78,"môi_trường_tốt, môi_trường_năng_động, văn_phòng_rộng, nhân_viên_tốt, phúc_lợi_tốt, vật_chất_tốt, văn_phòng_sạch, môi_trường_tuyệt_vời, kỹ_năng_mềm, văn_phòng_thoải_mái, môi_trường_trẻ, văn_phòng_rộng_rãi, lương_chậm, chế_độ_tốt, đồng_nghiệp_tốt, lương_ổn, cảnh_đẹp, lợi_ích_tốt, văn_phòng_xịn, đãi_ngộ_tốt"
Adnovum Vietnam,3,33.33,"môi_trường_trẻ, văn_phòng_rộng_rãi, lương_chậm, chế_độ_tốt, đồng_nghiệp_tốt, lương_ổn, cảnh_đẹp, lợi_ích_tốt, văn_phòng_xịn, đãi_ngộ_tốt, văn_phòng_đẹp, công_ty_tốt, thời_thoải_mái, đồng_nghiệp_trẻ, đồng_nghiệp_giỏi, đồ_nhẹ, sếp_giỏi, vẻ_hòa, bãi_rộng_rãi, nhân_viên_đông"
Adnovum Vietnam,1,16.67,"môi_trường_tốt, môi_trường_năng_động, văn_phòng_rộng, nhân_viên_tốt, phúc_lợi_tốt, vật_chất_tốt, văn_phòng_sạch, môi_trường_tuyệt_vời, kỹ_năng_mềm, văn_phòng_thoải_mái, môi_trường_trẻ, văn_phòng_rộng_rãi, lương_chậm, chế_độ_tốt, đồng_nghiệp_tốt, lương_ổn, cảnh_đẹp, lợi_ích_tốt, văn_phòng_xịn, đãi_ngộ_tốt"
Ahamove,0,25.0,"môi_trường_tốt, môi_trường_năng_động, văn_phòng_rộng, nhân_viên_tốt, phúc_lợi_tốt, vật_chất_tốt, văn_phòng_sạch, môi_trường_tuyệt_vời, kỹ_năng_mềm, văn_phòng_thoải_mái, văn_phòng_đẹp, công_ty_tốt, thời_thoải_mái, đồng_nghiệp_trẻ, đồng_nghiệp_giỏi, đồ_nhẹ, sếp_giỏi, vẻ_hòa, bãi_rộng_rãi, nhân_viên_đông"
