,id,Company Name,Company Type,Company industry,Company size,Country,Working days,Overtime Policy,Company overview,Our key skills,Why you'll love working here,Location,Href,Company overview_new,Why you'll love working here_new,Our key skills_new
0,0,1BITLAB Technology,IT Outsourcing,Software Development Outsourcing,1-50 employees,Vietnam,Monday - Friday,No OT,"1BITLAB Technology
Công ty cổ phần công nghệ 1bitlab với lĩnh vực hoạt động: CNTT chuyên về mảng Blockchain, AI. Công ty làm việc với khách hàng Nhật Bản. Đội ngũ nhân sự trẻ, nhiệt huyết, thức thời tiếp cận nhanh sự phát triển của thị trường và biến đổi liên tục.  
Về môi trường làm việc: Làm việc trực tiếp với đội ngũ quản lý, được cung cấp những kiến thức chuyên ngành là cơ hội để bạn nâng tầm bản thân. Bên cạnh đó, việc hợp tác với nhiều đối tác lớn trên thế giới sẽ mang đến cho bạn định hướng phát triển sự nghiệp bền vững, chuyên nghiệp.",Unknown,Unknown,"{'Ha Noi': ['81 Lê Đức Thọ, Nam Từ LIêm, Hà Nội, Nam Tu Liem, Ha Noi']}","https://itviec.com/companies/1bitlab-technology
","1BITLAB Technology
Công ty cổ phần công nghệ 1bitlab với lĩnh vực hoạt động: CNTT chuyên về mảng Blockchain, AI. Công ty làm việc với khách hàng Nhật Bản. Đội ngũ nhân sự trẻ, nhiệt huyết, thức thời tiếp cận nhanh sự phát triển của thị trường và biến đổi liên tục.
Về môi trường làm việc: Làm việc trực tiếp với đội ngũ quản lý, được cung cấp những kiến thức chuyên ngành là cơ hội để bạn nâng tầm bản thân. Bên cạnh đó, việc hợp tác với nhiều đối tác lớn trên thế giới sẽ mang đến cho bạn định hướng phát triển sự nghiệp bền vững, chuyên nghiệp.",Không xác định,Không xác định
1,1,1test,IT Product,IT Services and IT Consulting,1-50 employees,South Korea,Monday - Friday,No OT,"1test
Is an innovative educational technology company committed to transforming the learning experience through advanced artificial intelligence (AI) and machine learning (ML) technologies. Our groundbreaking platform revolutionizes education by offering a new way to conduct tests, assignments, and practice sessions. We provide comprehensive reports and gamified learning experiences that enhance engagement and optimize performance. Our mission is to empower academies, educators, and learners with cutting-edge solutions that elevate education to new heights.",Unknown,Unknown,"{'Ho Chi Minh': ['Remote, District 1, Ho Chi Minh'], 'Ha Noi': ['Remote, Ba Dinh, Ha Noi'], 'Da Nang': ['Remote, Hai Chau, Da Nang']}","https://itviec.com/companies/1test
","1test
Là một công ty công nghệ giáo dục sáng tạo cam kết chuyển đổi trải nghiệm học tập thông qua các công nghệ Trí tuệ nhân tạo tiên tiến (AI) và máy học (ML).Nền tảng đột phá của chúng tôi cách mạng hóa giáo dục bằng cách đưa ra một cách mới để tiến hành các bài kiểm tra, bài tập và các buổi thực hành.Chúng tôi cung cấp các báo cáo toàn diện và kinh nghiệm học tập chơi game nhằm tăng cường sự tham gia và tối ưu hóa hiệu suất.Nhiệm vụ của chúng tôi là trao quyền cho các học viện, nhà giáo dục và người học với các giải pháp tiên tiến nâng giáo dục lên một tầm cao mới.",Không xác định,Không xác định
2,2,52 Entertainment,IT Product,Game,1-50 employees,France,Monday - Friday,No OT,"A start-up of French and Vietnamese guys with passion on games development
Who we are? 
● A kind of start-up 
● French and Vietnamese guys, live in French and Vietnam 
● Have business team in France and development team in Vietnam

What we do?
● Create games, especially 2D multiplayer games 
● Have famous games in France. Please check following links:
○ Web https://exoty.com/
○ iOS https://itunes.apple.com/us/developer/game-publishing/id920761535
○ Android https://play.google.com/store/apps/dev?id=5961295858920322921
○ Facebook https://www.facebook.com/search/apps/?q=exoty","Our Key Skills
Java
Games
QA QC
C#
Unity
Tester","Be your own boss
A free lunch and a half day off each month
Work on real products, in touch with real users
- Work on real products, in touch with real users
- Put your work in hand of thousands of users and receive instant feedback
- Work on big projects
- Have your own working schedule
- Keep challenging yourself
- Learn something new everyday
- Be your own boss
- Work from Monday to Friday
- Each month, we have a free lunch and a half day off (which mean, you will have 12 + 6 days off compare to other companies)
- 13th month salary
- Salary is competitive","{'Ho Chi Minh': ['Tầng 7, 23 Trần Cao Vân, Phường Đa Kao, District 1, Ho Chi Minh']}","https://itviec.com/companies/52-entertainment
","Một người khởi nghiệp của những người Pháp và người Việt Nam với niềm đam mê phát triển trò chơi
Chúng ta là ai?
● Một loại khởi nghiệp
● Những người Pháp và Việt Nam, sống bằng tiếng Pháp và Việt Nam
● Có nhóm kinh doanh ở Pháp và nhóm phát triển tại Việt Nam

Chúng tôi làm gì?
● Tạo trò chơi, đặc biệt là trò chơi nhiều người chơi 2D
● Có các trò chơi nổi tiếng ở Pháp.Vui lòng kiểm tra các liên kết sau:
Web https://exoty.com/
IOS https://itunes.apple.com/us/developer/game-publishing/id920761535
Android https://play.google.com/store/apps/dev?id=5961295858920322921
Facebook https://www.facebook.com/search/apps/?q=Exoty","Là ông chủ của riêng bạn
Bữa trưa miễn phí và nửa ngày nghỉ mỗi tháng
Làm việc trên các sản phẩm thực, liên lạc với người dùng thực
- Làm việc trên các sản phẩm thực, liên lạc với người dùng thực
- Đặt công việc của bạn vào tay hàng ngàn người dùng và nhận phản hồi ngay lập tức
- Làm việc trên các dự án lớn
- Có lịch làm việc của riêng bạn
- Tiếp tục thử thách bản thân
- Học một cái gì đó mới hàng ngày
- Hãy là ông chủ của riêng bạn
- Làm việc từ thứ Hai đến thứ Sáu
- Mỗi tháng, chúng tôi có một bữa trưa miễn phí và nửa ngày nghỉ (có nghĩa là bạn sẽ có 12 + 6 ngày so với các công ty khác)
- Mức lương tháng thứ 13
- Mức lương là cạnh tranh","Kỹ năng chính của chúng tôi
Java
Trò chơi
QA QC
C#
Đoàn kết
Người thử nghiệm"
3,3,8Seneca,IT Outsourcing,IT Services and IT Consulting,1-50 employees,Singapore,Monday - Friday,No OT,"Pure play IT team extensions B2b exclusive outsourcing of highly qualified IT professionals
What is PURE PLAY company?
Company solely focused on b2b service without having own developed products for b2c market
Most famous examples of Pure Play companies are TSMC and Global Foundries which provide only production service to other companies while ensuring that their IP rights and design are kept safe.
Why to choose PURE PLAY company 8SENECA for your IT team extensions?
Flexibility of the team’s size
High level of expertise while having full control over the product and intellectual property
Ability of tailored approach
Agile integration with your internal team",Unknown,"Ha Noi
19F, Coninco Tower 4 Tôn Thất Tùng, Dong Da, Ha Noi
Ho Chi Minh
Remote, Other, Ho Chi Minh","{'Ha Noi': ['19F, Coninco Tower 4 Tôn Thất Tùng, Dong Da, Ha Noi'], 'Ho Chi Minh': ['Remote, Other, Ho Chi Minh']}","https://itviec.com/companies/8seneca
","Pure Play IT Team Extensions B2B Độc quyền của các chuyên gia CNTT có trình độ cao
Công ty Play Pure là gì?
Công ty chỉ tập trung vào dịch vụ B2B mà không có sản phẩm phát triển riêng cho thị trường B2C
Hầu hết các ví dụ nổi tiếng về các công ty chơi thuần túy là TSMC và các xưởng đúc toàn cầu chỉ cung cấp dịch vụ sản xuất cho các công ty khác trong khi đảm bảo rằng quyền và thiết kế IP của họ được giữ an toàn.
Tại sao chọn Pure Play Company 8Seneca cho các phần mở rộng của nhóm CNTT của bạn?
Tính linh hoạt của kích thước đội ngũ
Trình độ chuyên môn cao trong khi có toàn quyền kiểm soát sản phẩm và sở hữu trí tuệ
Khả năng của phương pháp phù hợp
Tích hợp Agile với nhóm nội bộ của bạn","Ha Noi
19F, Coninco Tower 4 Tôn Thất Tùng, Dong Da, Ha Noi
Ho Chi Minh
Remote, Other, Ho Chi Minh",Không xác định
4,4,Accenture,IT Service and IT Consulting,IT Services and IT Consulting,301-500 employees,Vietnam,Monday - Friday,No OT,"A global professional services company with leading capabilities in digital, cloud and security
ACCENTURE (NYSE: ACN) has completed its acquisition of Linkbynet in Juy 2021, 
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. 
Our 710,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities.
""Across the globe, one thing is universally true of the people of Accenture: We care deeply about what we do and the impact we have with our clients and communities. It is personal to all of us.""
Julie Sweet
Chair & CEO","Our Key Skills
Cloud
Linux
DevOps
Networking
System Engineer
Database
We are expert in Cloud environment and High Critical IT environment Management. Our job is make our Customer IT platforms go like clockwork.","Hybrid working
Wonderful and Human focus Environment
Global Training Program (Cloud, OS,...)
+3
Hybrid working
Global Training 
Performance bonus
Full social insurance, unemployment insurance, health insurance
Personal incident and health insurance
Wonderful and Human focus Environment
Dynamic and young work force
Great working environment (relax corners, PS4, ping-pong table etc.)","{'Ho Chi Minh': ['9th Floor, Viettel Tower, 285 Cach Mang Thang 8, District 10, Ho Chi Minh']}","https://itviec.com/companies/accenture
","Một công ty dịch vụ chuyên nghiệp toàn cầu có khả năng hàng đầu về kỹ thuật số, đám mây và bảo mật
Accdvisor (NYSE: ACN) đã hoàn thành việc mua lại Linkbynet trong JUY 2021,
Accdvisor là một công ty dịch vụ chuyên nghiệp toàn cầu có khả năng hàng đầu về kỹ thuật số, đám mây và bảo mật.Kết hợp kinh nghiệm chưa từng có và các kỹ năng chuyên môn trong hơn 40 ngành công nghiệp, chúng tôi cung cấp chiến lược và tư vấn, dịch vụ công nghệ và vận hành và bài hát Accergy, tất cả được cung cấp bởi mạng lưới lớn nhất thế giới về công nghệ tiên tiến và các trung tâm vận hành thông minh.
710.000 người của chúng tôi thực hiện theo lời hứa về công nghệ và sự khéo léo của con người mỗi ngày, phục vụ khách hàng tại hơn 120 quốc gia.Chúng tôi nắm lấy sức mạnh của sự thay đổi để tạo ra giá trị và chia sẻ thành công cho khách hàng, con người, cổ đông, đối tác và cộng đồng của chúng tôi.
""Trên toàn cầu, một điều đúng với người dân Accergy: chúng tôi quan tâm sâu sắc đến những gì chúng tôi làm và tác động của chúng tôi với khách hàng và cộng đồng của chúng tôi. Đó là cá nhân đối với tất cả chúng tôi.""
Julie ngọt ngào
Chủ tịch & Giám đốc điều hành","Làm việc lai
Môi trường tập trung tuyệt vời và con người
Chương trình đào tạo toàn cầu (Cloud, OS, ...)
+3
Làm việc lai
Đào tạo toàn cầu
Tiền thưởng hiệu suất
Bảo hiểm xã hội đầy đủ, bảo hiểm thất nghiệp, bảo hiểm y tế
Sự cố cá nhân và bảo hiểm y tế
Môi trường tập trung tuyệt vời và con người
Lực lượng lao động năng động và trẻ
Môi trường làm việc tuyệt vời (thư giãn góc, PS4, bàn ping-pong, v.v.)","Kỹ năng chính của chúng tôi
Đám mây
Linux
DevOps
Kết nối mạng
Kỹ sư hệ thống
Cơ sở dữ liệu
Chúng tôi là chuyên gia về môi trường đám mây và quản lý môi trường CNTT quan trọng cao.Công việc của chúng tôi là làm cho khách hàng của chúng tôi nền tảng CNTT của chúng tôi giống như đồng hồ."
5,5,Adnovum Vietnam,IT Service and IT Consulting,IT Services and IT Consulting,51-150 employees,Switzerland,Monday - Friday,No OT,"Adnovum
We are the sharp-minded IT experts who tackle the trickiest software and security challenges. With more than 700 employees in our locations in Zurich (HQ), Bern, Lausanne, Budapest, Lisbon, Singapore, and Ho Chi Minh City, we make the digital business of our clients work.
As a great team, we empower each other to share, grow and succeed. The unique Adnovum spirit across locations stands for helping each other at any time, having an open door and contributing to an appreciating and trustful atmosphere. We always enjoy having a laugh, a coffee or a drink together!
Apart from our unique «one Adnovum» spirit, we offer a solution-oriented engineering culture with flat hierarchies, which gives you the opportunity to contribute with your opinions and ideas. We embrace flexible working, like the possibility to work part-time and a hybrid work model. Your continuous education and development are key to us. Therefore, we actively encourage and support individual training opportunities.
 ","J2EE
Java
Spring
JavaScript
English
.NET","Competitive salary + compensation package
Flexible and international working environment
Sharp your own career in global projects
+3
What We offer
1. Attractive Remuneration Package:
Competitive salary, 13th-month salary, and bonuses (variable bonus, loyalty, referral, etc.)
100% salary and full insurance coverage during the probation period
Premium healthcare plan and additional insurance
14-18 days of paid leave annually
2. Career Development and Learning Opportunities:","{'Ho Chi Minh': ['Etown 2 Building, 364 Cong Hoa, Tan Binh, Ho Chi Minh']}","https://itviec.com/companies/adnovum-vietnam
","Adnovum
Chúng tôi là các chuyên gia CNTT có đầu óc sắc bén, những người giải quyết các thách thức phần mềm và bảo mật khó khăn nhất.Với hơn 700 nhân viên tại các địa điểm của chúng tôi ở Zurich (HQ), Bern, Lausanne, Budapest, Lisbon, Singapore và Hồ Chí Minh Thành phố, chúng tôi làm cho doanh nghiệp kỹ thuật số của khách hàng hoạt động.
Là một đội ngũ tuyệt vời, chúng tôi trao quyền cho nhau để chia sẻ, phát triển và thành công.Tinh thần adnovum độc đáo trên khắp các địa điểm là để giúp đỡ lẫn nhau bất cứ lúc nào, có một cánh cửa mở và góp phần vào một bầu không khí đánh giá cao và đáng tin cậy.Chúng tôi luôn thích có một tiếng cười, một ly cà phê hoặc đồ uống cùng nhau!
Ngoài tinh thần «một adnovum» độc đáo của chúng tôi, chúng tôi cung cấp một nền văn hóa kỹ thuật định hướng giải pháp với hệ thống phân cấp phẳng, cho bạn cơ hội đóng góp với ý kiến ​​và ý tưởng của bạn.Chúng tôi nắm lấy làm việc linh hoạt, như khả năng làm việc bán thời gian và mô hình làm việc lai.Giáo dục và phát triển liên tục của bạn là chìa khóa cho chúng tôi.Do đó, chúng tôi tích cực khuyến khích và hỗ trợ các cơ hội đào tạo cá nhân.","Mức lương cạnh tranh + Gói bồi thường
Môi trường làm việc linh hoạt và quốc tế
Sắc nét sự nghiệp của riêng bạn trong các dự án toàn cầu
+3
Những gì chúng tôi cung cấp
1. Gói thù lao hấp dẫn:
Mức lương cạnh tranh, tiền lương tháng 13 và tiền thưởng (tiền thưởng thay đổi, lòng trung thành, giới thiệu, v.v.)
Tiền lương 100% và bảo hiểm đầy đủ trong thời gian quản chế
Kế hoạch chăm sóc sức khỏe cao cấp và bảo hiểm bổ sung
14-18 ngày nghỉ phép hàng năm
2. Phát triển nghề nghiệp và cơ hội học tập:","J2EE
Java
Mùa xuân
JavaScript
Tiếng Anh
.MẠNG LƯỚI"
6,6,Ahamove,IT Product,E-commerce,301-500 employees,Vietnam,Monday - Friday,No OT,"Ahamove is positioned as Vietnam’s leading intracity commercial delivery provider.
Founded in 2015 in Ho Chi Minh City, Vietnam, Ahamove is an on-demand logistics service based on the concept of a shared economy, providing customers to fill excess capacity for logistics suppliers and reduce costs for consumers. 
You can find more about us at Facebook case study, Harvard case study, and on Asia Nikkei news.
This is a tremendous opportunity to take your career to the next level. Please review the information below and if you are interested, follow the Apply instructions.","Python
VueJS
NodeJS
Angular","Disruptive innovations
People-oriented philosophy of doing business
Your footprint on regional on-demand market
+2
Annual health check-ups.
Sports club: Running, football, badminton
Open communication with Senior Engineer & Technical Leader
Challenging working environment with attractive domain as Logistics
Fair team
Specific pantry with nice decoration & Coffee/Milk Coffee/Chocolate & Tea
Comfortable Private working Area for TECH team","{'Ho Chi Minh': ['Tòa nhà Rivera Park 7/28 Thành Thái, District 10, Ho Chi Minh']}","https://itviec.com/companies/ahamove
","Ahamove được định vị là nhà cung cấp giao hàng thương mại nội địa Việt Nam.
Được thành lập vào năm 2015 tại Hồ Chí Minh Thành phố, Việt Nam, Ahamove là một dịch vụ hậu cần theo yêu cầu dựa trên khái niệm nền kinh tế chung, cung cấp cho khách hàng để lấp đầy năng lực vượt quá cho các nhà cung cấp hậu cần và giảm chi phí cho người tiêu dùng.
Bạn có thể tìm thấy thêm về chúng tôi tại Facebook Case Study, Harvard Case Research và On Asia Nikkei News.
Đây là một cơ hội to lớn để đưa sự nghiệp của bạn lên một tầm cao mới.Vui lòng xem lại thông tin bên dưới và nếu bạn quan tâm, hãy làm theo hướng dẫn áp dụng.","Đổi mới đột phá
Triết lý kinh doanh theo định hướng con người
Dấu chân của bạn về thị trường theo yêu cầu khu vực
+2
Kiểm tra sức khỏe hàng năm.
Câu lạc bộ thể thao: Chạy, bóng đá, cầu lông
Giao tiếp mở với Kỹ sư cao cấp & Lãnh đạo kỹ thuật
Môi trường làm việc đầy thách thức với miền hấp dẫn như hậu cần
Đội công bằng
Phòng đựng thức ăn cụ thể với trang trí đẹp & cà phê/cà phê sữa/sô cô la & trà
Khu vực làm việc riêng thoải mái cho nhóm công nghệ","Python
Vuejs
Nodejs
Góc"
7,7,AI AVATAR,IT Product,Software Products and Web Services,1-50 employees,Vietnam,Monday - Friday,Extra salary for OT,"Create a world where you can love yourself
At AI AVATAR, we create intelligent AI companions designed to help users feel happier, more confident, and truly understood. Our AI companions offer emotional support, engaging conversations, and personalized interactions, making every user feel valued and empowered.

Recently, we proudly onboarded football legend Ronaldinho as one of our featured AI companions, allowing fans to interact with their idol like never before. Moving forward, we are expanding our community by partnering with more celebrities and key opinion leaders (KOLs) to bring even greater value to people worldwide.

Join us as we redefine human-AI connections and create a future where companionship and confidence are always within reach.",Unknown,"Ha Noi
3rd Floor, IPH Shopping Center, 241 Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi, Cau Giay, Ha Noi
4th Floor, N01-T4, Ngoai Giao Doan, Do Nhuan, Bac Tu Liem, Ha Noi, Bac Tu Liem, Ha Noi","{'Ha Noi': ['3rd Floor, IPH Shopping Center, 241 Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi, Cau Giay, Ha Noi', '4th Floor, N01-T4, Ngoai Giao Doan, Do Nhuan, Bac Tu Liem, Ha Noi, Bac Tu Liem, Ha Noi']}","https://itviec.com/companies/ai-avatar
","Tạo một thế giới nơi bạn có thể yêu chính mình
Tại AI Avatar, chúng tôi tạo ra những người bạn đồng hành AI thông minh được thiết kế để giúp người dùng cảm thấy hạnh phúc, tự tin hơn và thực sự được hiểu.Các bạn đồng hành AI của chúng tôi cung cấp hỗ trợ cảm xúc, các cuộc trò chuyện hấp dẫn và các tương tác cá nhân hóa, khiến mọi người dùng cảm thấy có giá trị và được trao quyền.

Gần đây, chúng tôi tự hào về huyền thoại bóng đá Ronaldinho là một trong những người bạn đồng hành AI nổi bật của chúng tôi, cho phép người hâm mộ tương tác với thần tượng của họ hơn bao giờ hết.Tiến về phía trước, chúng tôi đang mở rộng cộng đồng của mình bằng cách hợp tác với nhiều người nổi tiếng và các nhà lãnh đạo quan điểm chính (KOL) để mang lại giá trị lớn hơn cho mọi người trên toàn thế giới.

Tham gia với chúng tôi khi chúng tôi xác định lại các kết nối của con người và tạo ra một tương lai nơi sự đồng hành và tự tin luôn nằm trong tầm tay.","Ha Noi
3rd Floor, IPH Shopping Center, 241 Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi, Cau Giay, Ha Noi
4th Floor, N01-T4, Ngoai Giao Doan, Do Nhuan, Bac Tu Liem, Ha Noi, Bac Tu Liem, Ha Noi",Không xác định
8,8,AITS | Vietnam Airlines,IT Outsourcing,IT Services and IT Consulting,301-500 employees,Vietnam,Monday - Friday,No OT,"Tốc độ - Trách nhiệm - Chủ động - Sáng tạo
TẦM NHÌN
- Công ty dẫn đầu về cung cấp các sản phẩm, dịch vụ công nghệ thông tin, viễn thông, xử lý dữ liệu trong lĩnh vực hàng không, du lịch và lữ hành ở khu vực Campuchia, Lào, Myanmar và Việt Nam.
SỨ MỆNH
- Cung cấp các sản phẩm, dịch vụ công nghệ thông tin, viễn thông, xử lý dữ liệu tốt nhất cho khách hàng nói chung và Tổng Công ty Hàng không Việt Nam – CTCP nói riêng;
- Đồng hành cùng khách hàng, trở thành đối tác tin cậy và phát triển bền vững.
- Cân đối, hài hòa lợi ích chung của Công ty, khách hàng, cổ đông, người lao động và xã hội.
- Tin cậy, An toàn, Chất lượng, Hiệu quả;
- Khách hàng là trung tâm;
- Người Lao Động là tài sản quý giá nhất;
- Công nghệ số và Xử lý dữ liệu là sống còn.
AITS hướng tới việc phát triển nguồn nhân lực chất lượng cao về Công nghệ thông tin. 
Năm 2021 cần tuyển 48 chuyên viên ngành CNTT phục vụ cho các dự án của Công ty và của Vietnamairlines.","Our Key Skills
Java
ASP.NET
C#","+1
Nhân viên có năng lực tốt có thể ký hợp đồng chính thức khi chưa hết thời gian thử việc
Môi trường làm việc năng động, thân thiện, cơ hội thăng tiến.
Tăng lương theo hiệu quả công việc và cam kết đầy đủ các chế độ dành cho người lao động theo như quy định pháp luật hiện hành.
Chế độ, phúc lợi:
Tất cả người lao động ký HĐLĐ với công ty đều được đóng và hưởng chế độ BHXH, BHYT, BHTN theo đúng quy định của Pháp luật.
Được khám sức khỏe định kỳ hàng năm.
Được cấp tiền trang phục hàng năm.
Được hưởng chế độ nghỉ mát hàng năm.
Được hỗ trợ các loại phụ cấp tùy thuộc vào đặc thù của Công việc","{'Ha Noi': ['412 Nguyen Van Cu, Long Bien, Ha Noi'], 'Ho Chi Minh': ['49 Trường Sơn, Phường 2, Tan Binh, Ho Chi Minh'], 'Da Nang': ['Đường Nguyễn Văn Linh, Thanh Khe, Da Nang']}","https://itviec.com/companies/aits-vietnam-airlines
","Tốc độ - Trách nhiệm - Chủ động - Sáng tạo
TẦM NHÌN
- Công ty dẫn đầu về cung cấp các sản phẩm, dịch vụ công nghệ thông tin, viễn thông, xử lý dữ liệu trong lĩnh vực hàng không, du lịch và lữ hành ở khu vực Campuchia, Lào, Myanmar và Việt Nam.
SỨ MỆNH
- Cung cấp các sản phẩm, dịch vụ công nghệ thông tin, viễn thông, xử lý dữ liệu tốt nhất cho khách hàng nói chung và Tổng Công ty Hàng không Việt Nam – CTCP nói riêng;
- Đồng hành cùng khách hàng, trở thành đối tác tin cậy và phát triển bền vững.
- Cân đối, hài hòa lợi ích chung của Công ty, khách hàng, cổ đông, người lao động và xã hội.
- Tin cậy, An toàn, Chất lượng, Hiệu quả;
- Khách hàng là trung tâm;
- Người Lao Động là tài sản quý giá nhất;
- Công nghệ số và Xử lý dữ liệu là sống còn.
AITS hướng tới việc phát triển nguồn nhân lực chất lượng cao về Công nghệ thông tin.
Năm 2021 cần tuyển 48 chuyên viên ngành CNTT phục vụ cho các dự án của Công ty và của Vietnamairlines.","+1
Nhân viên có năng lực tốt có thể ký hợp đồng chính thức khi chưa hết thời gian thử việc
Môi trường làm việc năng động, thân thiện, cơ hội thăng tiến.
Tăng lương theo hiệu quả công việc và cam kết đầy đủ các chế độ dành cho người lao động theo như quy định pháp luật hiện hành.
Chế độ, phúc lợi:
Tất cả người lao động ký HĐLĐ với công ty đều được đóng và hưởng chế độ BHXH, BHYT, BHTN theo đúng quy định của Pháp luật.
Được khám sức khỏe định kỳ hàng năm.
Được cấp tiền trang phục hàng năm.
Được hưởng chế độ nghỉ mát hàng năm.
Được hỗ trợ các loại phụ cấp tùy thuộc vào đặc thù của Công việc","Kỹ năng chính của chúng tôi
Java
Asp.net
C#"
9,9,Aletech Technology Solutions Company,IT Outsourcing,Software Development Outsourcing,1-50 employees,Vietnam,Monday - Friday,No OT,"Not only technology, but also solution!
At Aletech, we're more than just a software development company. We're pioneers in innovation, with a portfolio of cutting-edge products that include an internal smart system powered by Chat GPT, an automated shopping workflow, and a cryptocurrency mobile application.
We firmly believe that the growth of each team member contributes to the success of the organization. That's why we are dedicated to enhancing the skills and experiences of our team and providing an environment that fosters personal and professional growth.
If you're searching for a workplace where your passion meets purpose, Aletech is the place to be. Join us and be a part of a team that thrives on innovation, creativity, and a shared commitment to excellence.
Address
Office 1: Binh Thanh District, Ho Chi Minh City
Office 2: Buon Ma Thuot City, Daklak Province
Office 3: Trung Kinh, Ha Noi ","Java
.NET
Python
JavaScript
NodeJS
Tester","13th-month salary and bonus every month
Health and dental insurance.
Traveling at least one time a year
+2
Competitive Salary – based on skills and experience
Bonuses – 13th-month salary + performance bonuses
Company Trips & Events – Travel at least once a year
Professional Growth – Work with cutting-edge technology and scalable solutions
Innovative & Friendly Work Environment – Join a dynamic, forward-thinking team.","{'Ho Chi Minh': ['La Bonita Building - 215 nguyễn Gia Trí (d2 cũ) phường 25 , Binh Thanh, Ho Chi Minh'], 'Ha Noi': ['Khuc Thua Du, Cau Giay, Ha Noi'], 'Others': ['Buon Ma Thuot City, Daklak Province']}","https://itviec.com/companies/aletech-technology-solutions-company
","Không chỉ công nghệ, mà còn giải pháp!
Tại Aletech, chúng tôi không chỉ là một công ty phát triển phần mềm.Chúng tôi là những người tiên phong trong đổi mới, với danh mục các sản phẩm tiên tiến bao gồm hệ thống thông minh nội bộ được cung cấp bởi Chat GPT, quy trình mua sắm tự động và ứng dụng di động tiền điện tử.
Chúng tôi tin chắc rằng sự phát triển của mỗi thành viên trong nhóm đóng góp cho sự thành công của tổ chức.Đó là lý do tại sao chúng tôi dành riêng để tăng cường các kỹ năng và kinh nghiệm của nhóm của chúng tôi và cung cấp một môi trường thúc đẩy sự phát triển cá nhân và chuyên nghiệp.
Nếu bạn đang tìm kiếm một nơi làm việc nơi niềm đam mê của bạn đạt được mục đích, Aletech là nơi cần đến.Tham gia với chúng tôi và là một phần của một nhóm phát triển mạnh về sự đổi mới, sáng tạo và một cam kết chung về sự xuất sắc.
Địa chỉ
Văn phòng 1: Quận Binh Thanh, Thành phố Hồ Chí Minh
Văn phòng 2: Thành phố Buon Ma Thuot, tỉnh Daklak
Office 3: Trung Kinh, Ha Noi","Mức lương và tiền thưởng tháng 13 mỗi tháng
Bảo hiểm sức khỏe và nha khoa.
Đi du lịch ít nhất một lần một năm
+2
Mức lương cạnh tranh - dựa trên các kỹ năng và kinh nghiệm
Tiền thưởng-Mức lương tháng 13 + Tiền thưởng hiệu suất
Các chuyến đi & sự kiện của công ty - Du lịch ít nhất một lần một năm
Tăng trưởng chuyên nghiệp-Làm việc với công nghệ tiên tiến và các giải pháp có thể mở rộng
Môi trường làm việc sáng tạo và thân thiện-Tham gia một nhóm năng động, có tư duy tiến bộ.","Java
.MẠNG LƯỚI
Python
JavaScript
Nodejs
Người thử nghiệm"
